Time,South_Atlantic,S_Australia,China,C_Africa,Arabian_sea,W_Africa_coast,Scandinavia,Offshore_oregon,Caribbean,Tropical_E_Pacific,W_S_America,Antarctica,Indonesia,Philippines,Iceland,N_Atlantic,Alaska,Mediterranean,New_Zealand,Japan,Greenland,Global
6000,2.742670039,0.423313826,-0.163910121,-0.033241939,0.134744943,-0.274625522,-0.047612254,0.442958539,0.281759133,0.297301506,1.081163429,3.266406935,0.194492205,0.297885191,0.335094221,2.224546467,-0.836653115,-1.594341472,2.968804866,-0.739470576,-1.727020001,0.987549425
6100,2.029505324,0.186590142,-0.172507782,0.317301137,0.211400894,-0.521472647,0.255012815,0.398094175,0.073012413,0.297982053,0.849391807,2.454359221,0.308523001,0.153861344,1.068479362,2.347294891,-0.838062825,-1.572484687,2.513055688,-0.696605435,-2.61814112,1.921535685
6200,1.813326834,0.044008458,-0.188570442,0.597094468,0.209355316,-0.395254358,0.178283972,0.445458637,-0.073782912,0.270722762,0.783660239,2.544071573,0.169951097,0.20538054,0.708606488,1.95002318,-1.038681289,-1.605887259,2.540819622,-0.580830694,-2.242375881,1.661545187
6300,1.556736164,-0.192073226,-0.085651117,0.05342957,-0.079900788,-0.261667353,0.239328444,0.539772964,-0.144786204,0.233648354,0.82263928,2.451497452,0.281910285,0.263745294,0.769928546,1.699467868,-1.010439568,-1.710352103,2.192474213,-0.657100784,-2.712175501,2.055074716
6400,2.291019812,-0.303872412,-0.090442777,0.686832659,-0.033687231,-0.109613438,0.146884494,0.640324681,-0.082391465,0.142295228,0.897339816,3.359567172,0.283019238,0.488543253,0.58810617,1.45630673,-1.015922787,-1.762189076,2.558884722,-0.649769687,-3.040505429,2.390735742
6500,1.786294565,-0.08245857,-0.153877453,-0.125574346,0.125663843,-0.457419769,0.181786435,0.740179257,0.020052383,0.405784349,0.976568953,3.009429313,0.501485237,0.304094263,0.811892816,1.56288429,-0.957317315,-1.795794916,2.549770461,-0.750747194,-2.124333501,1.373586306
6600,1.921893426,-0.262242728,-0.157834113,-1.153872451,0.413610446,-0.467255469,0.277977037,0.614091438,-0.078355847,0.354438475,0.884095389,3.294881788,0.277035418,0.373185049,0.623847115,1.93276094,-0.962788179,-1.744378391,2.509989148,-0.699317014,-2.702578453,2.003261439
6700,1.300592743,0.042401114,-0.150424788,-1.866438366,0.393009446,-0.391828355,0.459504647,0.619949371,-0.136021,0.212681242,0.931994753,3.373805524,0.211729012,0.36847508,0.450793972,2.253359778,-0.788836616,-1.583466306,2.634306123,-0.708686829,-2.836120429,2.1274336
6800,1.868108905,-0.257934044,-0.155938448,-0.680637901,0.359408304,-0.387755892,0.376804321,0.680206482,-0.212318656,0.249731559,0.723338117,3.113491924,0.372928728,0.192276336,0.528548497,1.650180034,-1.000492466,-1.368236027,2.018029743,-0.809436159,-3.449228953,2.639792794
6900,1.338499643,-0.081675267,-0.134058109,0.780922279,0.646052597,-0.208116514,-0.082436626,0.599046555,-0.208859803,0.342661305,0.720942181,2.66201304,0.27590204,0.1903821,0.582043432,0.718926203,-1.042125546,-1.424352025,1.810839795,-0.789951418,-3.341168906,2.551217487
7000,0.919498241,-0.02613914,-0.110814769,0.953696423,0.412251414,-0.093150111,-0.061612365,0.477772419,-0.197256997,0.160103218,0.710032845,2.952363884,0.006926918,0.113317142,0.95743209,2.178556997,-0.986117195,-1.182376037,1.620550134,-0.499181805,-2.716707596,2.21752579
7100,1.627322692,0.217261987,-0.224141459,1.022904699,0.385753965,-0.238448291,0.062467074,0.485172201,-0.194382882,0.119400853,0.739215209,2.997049089,0.295242266,0.064458368,0.554755947,1.710897033,-1.143697404,-1.083436707,1.739554993,-0.230626498,-2.523340358,2.29271386
7200,1.104588822,-0.09018303,-0.09944912,0.714155327,0.648605486,-0.220447481,-0.068195924,0.559066322,-0.14968098,0.124443372,0.679038703,2.702943429,0.393606081,0.39607246,0.842679309,1.105539778,-0.935691252,-0.89493817,1.733055635,-0.569047482,-2.239616953,1.670569471
7300,1.111920044,-0.316834191,-0.05050978,0.370108045,0.823328619,-0.088764122,0.241748759,0.579071866,-0.194645031,0.269150606,0.575658833,2.487391227,0.173087446,0.154698098,0.399431471,1.012459486,-0.924943721,-0.951126784,1.292994621,-0.493113527,-3.266947572,2.773834045
7400,0.944320829,-0.404426411,-0.19135344,0.338349689,0.848460729,-0.107979972,0.080416136,0.506647175,-0.187616367,0.302791943,0.638174964,2.48076585,0.020003163,0.087347705,0.445786429,0.804319196,-0.886603606,-0.963224387,1.387707808,-0.670733243,-3.191896596,2.521163353
7500,0.740945933,-0.398058761,-0.2284831,0.550551733,0.765027562,0.124218973,0.016162896,0.393359019,-0.126553772,-0.471043413,0.617256694,2.664128351,0.107159399,0.258338316,0.217655749,1.160947759,-0.895898662,-1.143684567,1.883671597,-0.692188279,-2.574125001,1.881936722
7600,0.993733983,-0.332174896,-0.193190791,0.602031879,0.757799759,0.068312072,0.120330774,0.16283016,-0.12010586,-0.199147335,0.516648724,2.922977505,0.124464649,0.300470485,0.290727083,1.153528772,-0.792062033,-1.280099576,1.94110443,-0.747118993,-3.199322001,2.452203008
7700,0.842913265,-0.26495909,-0.105968451,0.67044897,0.841564062,0.082063594,0.035566424,0.23626416,-0.091449996,0.210347679,0.529930137,2.819780657,0.166982286,0.360823688,0.202914856,0.541710169,-0.870741791,-1.175661473,1.70451806,-0.864243761,-4.579926381,3.71568262
7800,0.886868786,-0.086376334,-0.199700111,0.261948271,0.954111331,-0.07974667,-0.218235142,0.311055219,-0.055561363,0.201391439,0.498644018,2.773548401,0.046286156,0.123469342,-0.200136626,0.307179069,-1.012999462,-1.111339067,1.281596303,-0.992960759,-4.441674525,3.448713765
7900,0.745102331,-0.264600066,-0.213123771,0.702414236,1.007894255,-0.129447648,-0.33711252,0.112798663,-0.105231507,0.157857322,0.560766503,2.874391811,-0.086225395,0.298356395,0.146718277,0.182933291,-0.843047553,-1.149452605,1.542195397,-0.881832825,-2.931302953,2.049470128
8000,0.165026216,-0.396009797,-0.192114462,1.291648207,1.077045323,-0.045617184,-0.392018269,0.149063255,-0.075139139,-0.048864321,0.322108981,2.339343136,-0.055975166,-0.063607964,0.443105108,-0.071378097,-0.667945561,-1.080044294,0.987843725,-0.636593409,-3.075278953,2.438685544
8100,0.449904351,-0.492456064,-0.159808122,1.478431183,1.346088299,0.18928436,-0.095556672,0.388794151,-0.182637693,-0.115652411,-0.102518834,1.006506811,-0.161213124,0.139160682,0.918838256,-0.132355718,-0.565371386,-1.084863481,0.089362539,-0.54146952,-1.768308477,1.226838957
8200,0.046933233,-0.467942001,-0.098633782,0.964158497,1.131686487,0.160330377,0.194494324,0.535056669,-0.225583259,-0.072626455,-0.006288057,1.126464453,-0.12950313,-0.092354679,0.85175548,-0.086306553,-0.326353592,-1.00671341,0.001749056,-0.629609573,1.45896847,-2.088578043
8300,0.149456284,-0.194997439,-0.263967443,0.464509757,0.984969838,0.042564222,0.072825571,0.251976987,-0.236547815,-0.024489223,0.032762111,1.470051221,0.006705989,-0.171634629,0.455322296,0.21786316,-0.267759297,-1.086332774,0.189553479,-0.593819879,-2.670800453,2.076980574
8400,-0.336719619,-0.130065908,-0.168162103,0.239267224,0.709844945,-0.104560756,-0.153048786,0.037815665,-0.260119991,0.099652163,0.104459306,1.05872189,0.072763057,-0.267349545,0.119835044,-0.266863898,-0.259895479,-1.084920016,0.245197187,-0.671190237,-2.985272429,2.314082192
8500,-0.28827191,-0.210395408,-0.140530793,0.559548735,0.385502694,0.17724317,0.206746084,0.079020391,-0.224249969,0.198978011,-0.026968514,1.056426798,-0.002293345,-0.2168635,0.328982082,-0.456258074,0.030287382,-1.012674355,-0.082508707,-0.571118478,-2.627603953,2.056485475
8600,-0.07289704,-0.180667908,-0.276112453,0.685436246,0.852865832,-0.017531951,-0.236644367,-0.164059343,-0.280174635,0.492996662,-0.062567934,1.014989082,-0.097959088,0.030495034,0.03525342,-0.276536461,0.13113741,-1.177003108,-0.243842342,-0.579405926,-2.790959429,2.211553503
8700,-0.225262132,-0.218489145,-0.150106114,0.350598936,0.972759062,-0.058791989,-0.047163091,0.129628641,-0.180748897,0.636141919,-0.073614854,0.919507917,-0.033823154,0.135541361,0.278127688,-0.09789286,0.094044635,-1.176680087,0.003356104,-0.533195743,-2.796989406,2.263793663
