id,sitename,filename,lat,lon,elevation,country,gcmd_location,author,pub_year,title,journal
175,James Ross Island,JamesRossIsland.Mulvaney.2012.lpd,-64.2017,-57.685,1542,Antarctica,Antarctica,"Mulvaney, Robert; Abram, Nerilie J.; Hindmarsh, Richard C. A.; Arrowsmith, Carol; Fleet, Louise; Triest, Jack; Sime, Louise C.; Alemany, Olivier; Foord, Susan",2012,Recent Antarctic Peninsula warming relative to Holocene climate and ice-shelf history,Nature
176,Jinchuan Peat Bog,JinchueanBog.Yu.2013.lpd,42.33,126.37,600,Asia>Eastern Asia>China,Asia>Eastern Asia>China,"Yu, Shi-Yong",2013,Quantitative reconstruction of mid- to late-Holocene climate in NE China from peat cellulose stable oxygen and carbon isotope records and mechanistic models,The Holocene
177,JPC-42,JPC42.Caniupan.2014.lpd,-49.917,-74.383,-904,Pacific Ocean>South Pacific Ocean,Pacific Ocean>South Pacific Ocean,"Caniup  n, Magaly; Lamy, Frank; Lange, Carina B.; Kaiser, J̩r̫me; Kilian, Rolf; Arz, Helge W.; Le _n, Tania; Mollenhauer, Gesine; Sandoval, Susana; De Pol-Holz, Ricardo; Pantoja, Silvio; Wellner, Julia; Tiedemann, Ralf",2014,Holocene sea-surface temperature variability in the Chilean fjord region,Quaternary Research
178,NBP05-05_JPC-67,JPC67.Bertrand.2017.lpd,-54.3199,-69.4632,-297,Pacific Ocean>South Pacific Ocean,Pacific Ocean>South Pacific Ocean,"Bertrand, Sebastien; Lange, Carina B.; Pantoja, Silvio; Hughen, Konrad; Van Tornhout, Evi; Wellner, Julia Smith",2017,Postglacial fluctuations of Cordillera Darwin glaciers (southernmost Patagonia) reconstructed from Almirantazgo fjord sediments,Quaternary Science Reviews
179,JR01,JR01Chironomid.Fortin.2017.lpd,69.9,-95.07,120,North America>Canada>Nunavut,North America>Canada>Nunavut,"Fortin, Marie-Claude; Gajewski, Konrad",2016,"Multiproxy paleoecological evidence of Holocene climatic changes on the Boothia Peninsula, Canadian Arctic",Quaternary Research
180,Kaartlamminsuo,Kaartlamminsuo.Rankama.1988.lpd,60.73,24.22,115,Europe>Northern Europe>Scandinavia>Finland,Europe>Northern Europe>Scandinavia>Finland,"Rankama, T.; Vuorela, I.",1988,Between inland and coast in Metal Age Finland - human impact on the primeval forests of southern H _me during the Iron Age,Memoranda Societatis Pro Fauna et Flora Fennica
181,Kaite Cobre Mayor,KaiteCobreMayor.MartinChivelet.2011.lpd,42.7918,-3.8496,1173,Europe>Southern Europe>Spain,Europe>Southern Europe>Spain,"Mart _n-Chivelet, Javier; Mu̱oz-Garc _a, M. Bel̩n; Edwards, R. Lawrence; Turrero, Mar _a J.; Ortega, Ana I.",2011,"Land surface temperature changes in northern Iberia since 4000 yrBP, based on   13C of speleothems",Global and Planetary Change
182,Kansjon,Kansjon.EPD.lpd,57.63,14.53,308,Europe>Northern Europe>Scandinavia>Sweden,Europe>Northern Europe>Scandinavia>Sweden,NA,NA,NA,NA
183,Kardashinski Swamp,KardashinskiSwamp.Kremenetski.1995.lpd,46.52,32.62,4,Europe>Eastern Europe>Ukraine,Europe>Eastern Europe>Ukraine,"Kremenetski, Constantin V.",1995,Holocene vegetation and climate history of southwestern Ukraine,Review of Palaeobotany and Palynology
184,Karujarv,Karujarv.EPD.lpd,58.38,22.2,32,Europe>Northern Europe>Estonia,Europe>Northern Europe>Estonia,NA,NA,NA,NA
185,Keele,Keele.Szeicz.1995.lpd,64.17,-127.62,1150,North America>Canada>Northwest Territories,North America>Canada>Northwest Territories,"Szeicz, Julian M.; MacDonald, Glen M.; Duk-Rodkin, Alejandra",1995,"Late Quaternary vegetation history of the central Mackenzie Mountains, Northwest Territories, Canada","Palaeogeography, Palaeoclimatology, Palaeoecology"
186,Kenosee,Kenosee.Porter.1992.lpd,49.82,-102.3,746,North America>Canada>Saskatchewan,North America>Canada>Saskatchewan,"Porter, S.C.; Sauchyn, M.A.",1992,Moose Mountain palynology study: Final report,NA
187,Keystone Iron Bog,KeystoneIronbog.Fall.1985.lpd,38.87,-107.03,2920,North America>United States Of America>Colorado,North America>United States Of America>Colorado,"Fall, P.L.",1988,Vegetation dynamics in the southern Rocky Mountains: Late Pleistocene and Holocene timberline fluctuations,NA
188,Kharinei,Kharinei.Jones.2011.lpd,67.3628,62.7507,108,Europe>Eastern Europe>Russian Federation,Europe>Eastern Europe>Russian Federation,"Jones, V. J.; Solovieva, N.; Self, A. E.; McGowan, S.; Ros̩n, P.; Salonen, J. S.; Sepp _, H.; V _liranta, M.; Parrott, E.; Brooks, S. J.",2011,"The influence of Holocene tree-line advance and retreat on an arctic lake ecosystem: A multi-proxy study from Kharinei Lake, northeastern European Russia",Journal of Paleolimnology
189,Khatanga-12 Lake,Khatanga-12Lake.Syrykh.2017.lpd,73,102,60,Europe>Eastern Europe>Russian Federation,Europe>Eastern Europe>Russian Federation,"Syrykh, L. S.; Nazarova, L. B.; Herzschuh, U.; Subetto, D. A.; Grekov, I. M.",2017,Reconstruction of palaeoecological and palaeoclimatic conditions of the Holocene in the south of the Taimyr according to an analysis of lake sediments,Contemporary Problems of Ecology
190,Kinderlinskaya Cave,KinderlinskayaCave.Baker.2017.lpd,54.2,56.9,240,Europe>Eastern Europe>Russian Federation,Europe>Eastern Europe>Russian Federation,"Baker, Jonathan L.; Lachniet, Matthew S.; Chervyatsova, Olga; Asmerom, Yemane; Polyak, Victor J.",2017,Holocene warming in western continental Eurasia driven by glacial retreat and greenhouse forcing,Nature Geoscience
191,Klotjaernen,Klotjaernen.Pollen.Sweden.lpd,61.8211,16.4044,235,Europe>Northern Europe>Scandinavia>Sweden,Europe>Northern Europe>Scandinavia>Sweden,"Giesecke, T.; Bjune, A.E.; Chiverrell, R.C.; Sepp _, H.; Ojala, A.E.K.; Birks, H.J.B.",2008,Exploring Holocene continentality changes in Fennoscandia using present and past tree distributions,Quaternary Science Reviews
192,Koeycegiz Goelue,KoeycegizGoelue.EPD.lpd,36.88,28.64,20,Asia>Western Asia>Turkey,Asia>Western Asia>Turkey,NA,NA,NA,NA
193,Komsomolskaia,Komosomolskaia.Ciais.1992.lpd,-74.083,97.4833,3499,Antarctica,Antarctica,"Ciais, P; Petit, J R; Jouzel, J; Lorius, C; Barkov, N I; Lipenkov, V; Nicola  ev, V",1992,Evidence for an early Holocene climatic optimum in the Antarctic deep ice-core record,Climate Dynamics
194,Koucha,Koucha.Herzschuh.2009.lpd,34,97.2,4540,Asia>Eastern Asia>China,Asia>Eastern Asia>China,"Herzschuh, Ulrike; Kramer, Annette; Mischke, Steffen; Zhang, Chengjun",2009,Quantitative climate and vegetation trends since the late glacial on the northeastern Tibetan Plateau deduced from Koucha Lake pollen spectra,Quaternary Research
195,KR02,KR02Chironomid.Fortin.2010.lpd,71.34,-113.78,299,North America>Canada>Northwest Territories,North America>Canada>Northwest Territories,"Fortin, Marie-Claude; Gajewski, Konrad",2010,"Postglacial environmental history of western Victoria Island, Canadian Arctic",Quaternary Science Reviews
196,KR02,KR02Pollen.Peros.2008.lpd,71.34,-113.78,299,North America>Canada>Northwest Territories,North America>Canada>Northwest Territories,"Peros, Matthew C.; Gajewski, Konrad",2008,"Holocene climate and vegetation change on Victoria Island, western Canadian Arctic",Quaternary Science Reviews
197,Kurupa Lake,Kurupa.Boldt.2015.lpd,68.35,-154.61,920,North America>United States Of America>Alaska,North America>United States Of America>Alaska,"Boldt, Brandon R; Kaufman, Darrell S; McKay, Nicholas P; Briner, Jason P",2015,"Holocene summer temperature reconstruction from sedimentary chlorophyll content, with treatment of age uncertainties, Kurupa Lake, Arctic Alaska",The Holocene
198,Kyutyunda,Kyutyunda.Biskaborn.2016.lpd,69.6285,123.6481,66,Europe>Eastern Europe>Russian Federation,Europe>Eastern Europe>Russian Federation,"Biskaborn, B.K.; Subetto, D.A.; Savelieva, L.A.; Vakhrameeva, P.S.; Hansche, A.; Herzschuh, U.; Klemm, J.; Heinecke, L.; Pestryakova, L.A.; Meyer, H.; Kuhn, G.; Diekmann, B.",2016,Late Quaternary vegetation and lake system dynamics in north-eastern Siberia: Implications for seasonal climate variability,Quaternary Science Reviews
199,KZAI_01,KZAI_01.Hardy.2018.lpd,-5.7,11.23,-816,Atlantic Ocean>South Atlantic Ocean,Atlantic Ocean>South Atlantic Ocean,"Hardy, William; Marret, Fabienne; Penaud, Aur̩lie; le M̩zo, Priscilla; Droz, Laurence; Marsset, Tania; Kageyama, Masa",2018,Quantification of last glacial-Holocene net primary productivity and upwelling activity in the equatorial eastern Atlantic with a revised modern dinocyst database,"Palaeogeography, Palaeoclimatology, Palaeoecology"
200,Lac Aurelie,LacAurelie.Bajolle.2018.lpd,50.42,-74.2297,440,North America>Canada>Quebec,North America>Canada>Quebec,"Bajolle, Lisa; Larocque-Tobler, Isabelle; Gandouin, Emmanuel; Lavoie, Martin; Bergeron, Yves; Ali, Adam A.",2018,Major postglacial summer temperature changes in the central coniferous boreal forest of Quebec (Canada) inferred using chironomid assemblages,Journal of Quaternary Science
201,Lac Colin,LacColin.Mott.1977.lpd,46.72,-70.3,658,North America>Canada>Quebec,North America>Canada>Quebec,"Mott, R. J.",1977,Late-Pleistocene and Holocene palynology in southeastern Qu̩bec,G̩ographie physique et Quaternaire
202,Lac du Sommet,LacduSommet.Hausmann.2011.lpd,47.7167,-70.6667,830,North America > Canada > Quebec,North America > Canada > Quebec,"Hausmann, Sonja; Larocque-Tobler, Isabelle; Richard, Pierre J.H.; Pienitz, Reinhard; St-Onge, Guillaume; Fye, Falko",2011,"Diatom-inferred wind activity at Lac du Sommet, southern Qu̩bec, Canada: A multiproxy paleoclimate reconstruction based on diatoms, chironomids and pollen for the past 9500 years",The Holocene
203,Lac Faribault,LacFaribault.Larouche.1981.lpd,58.87,-71.72,250,North America>Canada>Quebec,North America>Canada>Quebec,"Richard, P.J.H.",1981,Paleophytogeographie postglaciaire en Ungava par l'analyse pollinique,NA
204,Lac Gras,LacGras.King.1986.lpd,52.25,-67.07,530,North America>Canada>Quebec,North America>Canada>Quebec,"King, G.A.",1986,Deglaciation and vegetation history of western Labrador and adjacent Quebec,NA
205,Lac Leonard,LacLeonard.Labelle.1984.lpd,49.21,-65.81,17,North America>Canada>Quebec,North America>Canada>Quebec,"Labelle, Claude; Richard, Pierre J. H.",1984,"Histoire postglaciaire de la v̩g̩tation dans la r̩gion de Mont-Saint-Pierre, Gasp̩sie, Qu̩bec",G̩ographie physique et Quaternaire
206,Lac Martyne,LacMartyne.McAndrews.NA.lpd,56.78,-64.83,365,North America>Canada>Quebec,North America>Canada>Quebec,NA,NA,NA,NA
207,Lac Meleze,LacMeleze.MacDonald.1987.lpd,65.22,-126.12,650,North America>Canada>Northwest Territories,North America>Canada>Northwest Territories,"MacDonald, Glen M.",1987,Postglacial vegetation history of the Mackenzie River Basin,Quaternary Research
208,Lac Patricia,LacPatricia.McAndrews.1983.lpd,56.67,-64.68,538,North America>Canada>Quebec,North America>Canada>Quebec,"Samson, G.",1983,"Prehistorie du Mushuau Nipi, Nouveau-Quebec: Etude du mode d'adaptation a l'interier des terres hemi-arctiques",NA
209,Lac Petel,LacPetel.King.1986.lpd,50.55,-66.27,270,North America>Canada>Quebec,North America>Canada>Quebec,"King, G.A.",1986,Deglaciation and vegetation history of western Labrador and adjacent Quebec,NA
210,Ladd,Ladd.Shane.1993.lpd,41.42,-84.75,249,North America>United States Of America>Ohio,North America>United States Of America>Ohio,"Shane, Linda C.K.; Anderson, Katherine H.",1993,"Intensity, gradients and reversals in late glacial environmental change in east-central North America",Quaternary Science Reviews
211,Lago de Ajo,LagodeAjo.Allen.1996.lpd,43.05,-6.15,1570,Europe>Southern Europe>Spain,Europe>Southern Europe>Spain,"Allen, Judy R. M.; Huntley, B; Watts, W. A.",1996,"The vegetation and climate of northwest Iberia over the last 14,000 years",Journal of Quaternary Science
212,Lago Dell Accesa,LagoDellAccesa.Finsinger.2010.lpd,42.9888,10.8972,157,Europe>Southern Europe>Italy,Europe>Southern Europe>Italy,"Finsinger, Walter; Colombaroli, Daniele; De Beaulieu, Jacques-Louis; Valsecchi, Verushka; Vanni̬re, Boris; Vescovi, Elisa; Chapron, Emmanuel; Lotter, Andr̩ F.; Magny, Michel; Tinner, Willy",2010,Early to mid-Holocene climate change at Lago dell'Accesa (central Italy): Climate signal or anthropogenic bias?,Journal of Quaternary Science
213,Lago Moreno,LagoMoreno.Markgraf.2002.lpd,-41.0583,-71.5167,800,South America>Argentina,South America>Argentina,"Markgraf, Vera; Webb, Robert S; Anderson, Katherine H; Anderson, Lysanna",2002,Modern pollen/climate calibration for southern South America,"Palaeogeography, Palaeoclimatology, Palaeoecology"
214,Lago Verdarolo,LagoVerdarolo.Samartin.2011.lpd,44.36,10.12,1390,Europe>Southern Europe>Italy,Europe>Southern Europe>Italy,"Samartin, S.; Heiri, O.; Joos, F.; Renssen, H.; Franke, J.; Broennimann, S.; Tinner, W.",2017,Warm Mediterranean mid-Holocene summers inferred from fossil midge assemblages,Nature Geoscience
215,Laguna Chaplin,LagunaChaplin.Punyasena.2008.lpd,-14.4667,-61.0667,225,South America>Bolivia,South America>Bolivia,"Punyasena, Surangi W.; Mayle, Francis E.; McElwain, Jennifer C.",2008,Quantitative estimates of glacial and Holocene temperature and precipitation change in lowland Amazonian Bolivia,Geology
216,Laguna Salada Chiprana,LagunaSaladaChiprana.EPD.lpd,41.23,-0.17,150,Europe>Southern Europe>Spain,Europe>Southern Europe>Spain,NA,NA,NA,NA
217,Laihalampi,Laihalampi.Giesecke.2008.lpd,61.4833,26.0833,137,Europe>Northern Europe>Scandinavia>Finland,Europe>Northern Europe>Scandinavia>Finland,"Giesecke, T.; Bjune, A.E.; Chiverrell, R.C.; Sepp _, H.; Ojala, A.E.K.; Birks, H.J.B.",2008,Exploring Holocene continentality changes in Fennoscandia using present and past tree distributions,Quaternary Science Reviews
218,Lyadhej-To,LakeLyadhej-To.Andreev.2005.lpd,68.26,65.8,150,Europe>Eastern Europe>Russian Federation,Europe>Eastern Europe>Russian Federation,"Andreev, Andrei A.; Tarasov, Pavel E.; Ilyashuk, Boris P.; Ilyashuk, Elena A.; Cremer, Holger; Hermichen, Wolf-Dieter; Wischer, Frank; Hubberten, Hans-Wolfgang",2005,"Holocene environmental history recorded in Lake Lyadhej-To sediments, polar Urals, Russia","Palaeogeography, Palaeoclimatology, Palaeoecology"
219,Lake of the Woods,LakeoftheWoods.Palmer.2002.lpd,49.05,-120.1833,2050,North America>Canada>British Columbia,North America>Canada>British Columbia,"Palmer, Samantha; Walker, Ian; Heinrichs, Markus; Hebda, Richard; Scudder, Geoffrey",2002,"Postglacial midge community change and Holocene palaeotemperature reconstructions near treeline, southern British Columbia (Canada)",Journal of Paleolimnology
220,Stowell Lake,LakeStowell.Lemmen.2018.lpd,48.7833,-123.4445,70,North America>Canada>British Columbia,North America>Canada>British Columbia,"Lemmen, J.; Lacourse, T.",2018,"Fossil chironomid assemblages and inferred summer temperatures for the past 14,000 years from a low-elevation lake in Pacific Canada",Journal of Paleolimnology
221,LaPAS_KF02,LaPAS_KF02.Pivel.2013.lpd,-25.84,-45.2,-827,Atlantic Ocean>South Atlantic Ocean,Atlantic Ocean>South Atlantic Ocean,"Pivel, M.A.G.; Santarosa, A.C.A.; Toledo, F.A.L.; Costa, K.B.",2013,The Holocene onset in the southwestern South Atlantic,"Palaeogeography, Palaeoclimatology, Palaeoecology"
222,Lapland,Lapland.Helama.2009.lpd,69,25,335,Europe>Northern Europe>Scandinavia>Norway,Europe>Northern Europe>Scandinavia>Norway,"Helama, Samuli; Timonen, Mauri; Holopainen, Jari; Ogurtsov, Maxim G.; Mielik _inen, Kari; Eronen, Matti; Lindholm, Markus; Meril _inen, Jouko",2009,Summer temperature variations in Lapland during the Medieval Warm Period and the Little Ice Age relative to natural instability of thermohaline circulation on multi-decadal and multi-centennial scales,Journal of Quaternary Science
223,Law Dome DSS,LawDome.Dahl-Jensen.1999.lpd,-66.7697,112.8069,1390,Antarctica,Antarctica,"Dahl-Jensen, Dorthe; Morgan, Vin I.; Elcheikh, Alan",1999,Monte Carlo inverse modelling of the Law Dome (Antarctica) temperature profile,Annals of Glaciology
224,Lake LB1,LB1.Gajewski.1993.lpd,57.92,-75.62,200,North America>Canada>Quebec,North America>Canada>Quebec,"Gajewski, K.; Payette, S.; Ritchie, J. C.",1993,Holocene vegetation history at the boreal-forest-shrub-tundra transition in northwestern Quebec,The Journal of Ecology
225,Lednica -1,Lednica-1.Makohonienko.1991.lpd,52.56,17.39,109,Europe>Eastern Europe>Poland,Europe>Eastern Europe>Poland,"Makohonienko, M.",1991,Untitled,Wstep do paleoecologi lednideiego parku Krajobvazowego
226,Lednica -2,Lednica-2.Litt.1991.lpd,52.56,17.39,109,Europe>Eastern Europe>Poland,Europe>Eastern Europe>Poland,"Litt, T.; Tobolski, K.",1991,Beitraege zur postglazialen Vegetaionsgeschichte im Lednica-Gebiet,Wstep do paleoekologii Lednickiego Parku Krajobrazowego
227,Le Fourneau,LeFourneau.Barbier.1999.lpd,48.44,-0.19,276,Europe>Western Europe>France,Europe>Western Europe>France,"Barbier, D.",1999,Histoire de la vegetation du nord-mayennais de la fin du Weichselien a l'aube du XXIeme siecle. Mise en evidence d'un tardiglaciaire armoricain. Interactions homme-milieu.,NA
228,Le Grand Lemps,LeGrandLemps.Clerc.1988.lpd,45.47,5.42,680,Europe>Western Europe>France,Europe>Western Europe>France,"Clerc, J.",1988,Recherches pollenanalytiques sur la paleo-ecologie tardiglaciaire et Holocene du Bas-Dauphine,NA
229,Leviathan,Leviathan.Lachniet.2014.lpd,37.89,-115.58,2400,North America>United States Of America>Nevada,North America>United States Of America>Nevada,"Lachniet, Matthew S.; Denniston, Rhawn F.; Asmerom, Yemane; Polyak, Victor J.",2014,Orbital control of western North America atmospheric circulation and climate over two glacial cycles,Nature Communications
230,Lifebuoy Lake,LifebuoyLake.Solivieva.2015.lpd,59.1099,163.1524,20,Europe>Eastern Europe>Russian Federation,Europe>Eastern Europe>Russian Federation,"Solovieva, N.; Klimaschewski, A.; Self, A.E.; Jones, V.J.; Andr̩n, E.; Andreev, A.A.; Hammarlund., D.; Lepskaya, E.V.; Nazarova, L.",2015,The Holocene environmental history of a small coastal lake on the northeastern Kamchatka Peninsula,Global and Planetary Change
231,Liivjarve Bog,LiivjarveBog.Koff.1989.lpd,59.22,27.58,46,Europe>Northern Europe>Estonia,Europe>Northern Europe>Estonia,"Koff, T.",1989,Reconstruction of palaeogeographical conditions in NE Estonia on the basis of bog and lake deposits,In: Estonia-Finnish seminar on environmental questions.
232,Lingreville,Lingreville.Billard.1995.lpd,48.93,-1.54,5,Europe>Western Europe>France,Europe>Western Europe>France,"Billard, Cyrille; Clet-Pellerin, Martine; Lautridou, Jean-Pierre; Giffault, Mich̬le",1995,Un site protohistorique littoral dans le havre de la Vanl̩e    Lingreville et Bricqueville-sur-Mer (Manche),Revue arch̩ologique de l'ouest
233,Little,Little.Whitlock.1995.lpd,44.17,-123.58,217,North America>United States Of America>Oregon,North America>United States Of America>Oregon,"Worona, Marc A.; Whitlock, Cathy",1995,"Late Quaternary vegetation and climate history near Little Lake, central Coast Range, Oregon",Geological Society of America Bulletin
234,Little Bass,LittleBass.Swain.NA.lpd,47.29,-93.6,391,North America>United States Of America>Minnesota,North America>United States Of America>Minnesota,NA,NA,NA,NA
235,Little Loch Roag,LittleLochRoag.Birks.1979.lpd,58.13,-6.88,27,Europe>Northern Europe>British Isles>United Kingdom,Europe>Northern Europe>British Isles>United Kingdom,"Birks, H. J. B.; Madsen, B.J.",1979,"Flandrian vegetational history of Little Loch Roag, Isle of Lewis, Scotland",Journal of Ecology
236,Little Pond,LittlePondRoyalston.Marsicek.2013.lpd,42.68,-72.19,302,North America>United States Of America>Massachusetts,North America>United States Of America>Massachusetts,"Marsicek, Jeremiah P.; Shuman, Bryan; Brewer, Simon; Foster, David R.; Oswald, W. Wyatt",2013,Moisture and temperature changes associated with the mid-Holocene Tsuga decline in the northeastern United States,Quaternary Science Reviews
237,Llet-Ti,Llet-T.liranta.2015.lpd,66.52,59.3,50,Europe>Eastern Europe>Russian Federation,Europe>Eastern Europe>Russian Federation,"V _liranta, M.; Salonen, J. S.; Heikkil _, M.; Amon, L.; Helmens, K.; Klimaschewski, A.; Kuhry, P.; Kultti, S.; Poska, A.; Shala, S.; Veski, S.; Birks, H. H.",2015,Plant macrofossil evidence for an early onset of the Holocene summer thermal maximum in northernmost Europe,Nature Communications
238,Lobsigensee,Lobsigensee.Ammann.1985.lpd,47.03,7.3,514,Europe>Western Europe>Switzerland,Europe>Western Europe>Switzerland,"Ammann, B.",1985,Introduction and palynology: Vegetational history and core correlation at Lobsigensee (Swiss Plateau),Dissertationes Botanicae
239,Lochnagar 30,Lochnagar30.Dalton.2005.lpd,56.96,-3.2296,788,Europe>Northern Europe>British Isles>Scotland,Europe>Northern Europe>British Isles>Scotland,"Dalton, Catherine; Birks, H.J.B.; Brooks, Stephen J.; Cameron, Nigel G.; Evershed, Richard P.; Peglar, Sylvia M.; Scott, Julie A.; Thompson, Roy",2005,"A multi-proxy study of lake-development in response to catchment changes during the Holocene at Lochnagar, north-east Scotland","Palaeogeography, Palaeoclimatology, Palaeoecology"
240,Lone Fox Lake,LoneFoxLake.MacDonald.1985.lpd,56.72,-119.72,1100,North America>Canada>Alberta,North America>Canada>Alberta,"MacDonald, Glen M.; Cwynar, Les C.",1985,A fossil pollen based reconstruction of the late Quaternary history of lodgepole pine (Pinus contorta ssp. latifolia) in the western interior of Canada,Canadian Journal of Forest Research
241,Longwoods,Longwoods.Wilmshurst.2007.lpd,-46.23,167.83,60,Australia/New Zealand>New Zealand,Australia/New Zealand>New Zealand,"Wilmshurst, Janet M.; McGlone, Matt S.; Leathwick, John R.; Newnham, Rewi M.",2007,"A pre-deforestation pollen-climate calibration model for New Zealand and quantitative temperature reconstructions for the past 18,000 years BP",Journal of Quaternary Science
242,Loon Pond,LoonPond.Jacobson.Ja.lpd,45.03,-68.2,110,North America>United States Of America>Maine,North America>United States Of America>Maine,"Jacobson, G.L., Jr.",1975,A palynological study of the history and ecology of white pine in Minnesota,NA
243,Lost Lake-MI,LostLake_MI.Brubaker.1975.lpd,46.72,-87.97,524,North America>United States Of America>Michigan,North America>United States Of America>Michigan,"Brubaker, Linda B.",1975,Postglacial forest patterns associated with till and outwash in northcentral Upper Michigan,Quaternary Research
244,Lough Meenachrinna,LoughMeenachrinna.Taylor.2018.lpd,54.7282,-8.6794,286,Europe>Northern Europe>British Isles>Ireland,Europe>Northern Europe>British Isles>Ireland,"Taylor, Karen J.; McGinley, Seamus; Potito, Aaron P.; Molloy, Karen; Beilman, David W.",2018,A mid to late Holocene chironomid-inferred temperature record from northwest Ireland,"Palaeogeography, Palaeoclimatology, Palaeoecology"
245,Louise Pond,LouisePond.Mathewes.1994.lpd,52.95,-131.76,650,North America>Canada>British Columbia,North America>Canada>British Columbia,"Pellatt, Marlow G.; Mathewes, Rolf W.",1994,"Paleoecology of postglacial tree line fluctuations on the Queen Charlotte Islands, Canada",coscience
246,Lake LR1,LR1.Gajewski.1993.lpd,58.583,-75.25,170,North America>Canada>Quebec,North America>Canada>Quebec,"Gajewski, K.; Payette, S.; Ritchie, J. C.",1993,Holocene vegetation history at the boreal-forest-shrub-tundra transition in northwestern Quebec,The Journal of Ecology
247,Lake LR3,LR3.Gajewski.1992.lpd,58.58,-75.25,160,North America>Canada>Quebec,North America>Canada>Quebec,"Gajewski, K.; Garralla, Silvina",1992,"Holocene vegetation histories from three sites in the tundra of northwestern Quebec, Canada",Arctic and Alpine Research
248,Luganskoe,Luganskoe.Kvavadze.1994.lpd,43.73,40.69,2428,Europe>Eastern Europe>Russian Federation,Europe>Eastern Europe>Russian Federation,"Kvavadze, E.V.; Efremov, Yu.V.; Bukreeva, G.V.; Akatov, V.V.",1994,Palynological characteristic of the series of lacustrine and paludal deposites of the Holocene in the headwaters of the Zakan river (western Caucasus),Bulletin of the Georgian Academy of Sciences
249,Lynn,Lynn.Nichols.1967.lpd,56.84,-101.04,340,North America>Canada>Manitoba,North America>Canada>Manitoba,"Nichols, H.",1967,Central Canadian palynology and its relevance to northwestern Europe in the late Quaternary period,Review of Palaeobotany and Palynology
250,M40-4-SL78,M40-4-SL78.Emeis.2003.lpd,37.036,13.19,-470,Atlantic Ocean>North Atlantic Ocean>Mediterranean Sea,Atlantic Ocean>North Atlantic Ocean>Mediterranean Sea,"Emeis, Kay-Christian; Dawson, Alastair G.",2003,Holocene palaeoclimate records over Europe and the North Atlantic,The Holocene
251,M75_3_137_3,M75_3_137_3.Wang.2013.lpd,-18.2412,37.8685,-1339,Indian Ocean,Indian Ocean,"Wang, Yiming V.; Leduc, Guillaume; Regenberg, Marcus; Andersen, Nils; Larsen, Thomas; Blanz, Thomas; Schneider, Ralph R.",2013,Northern and southern hemisphere controls on seasonal sea surface temperatures in the Indian Ocean during the last deglaciation,Paleoceanography
252,M77_2_056_5,M77_2_056_5.Neurnberg.2015.lpd,-3.7498,-81.1247,-355,Pacific Ocean>South Pacific Ocean,Pacific Ocean>South Pacific Ocean,"Nuernberg, Dirk",2015,Sea surface and subsurface circulation dynamics off equatorial Peru during the last ~17__yr,Paleoceanography
253,Lake Mackenzie,Mackenzie.Woltering.2014.lpd,-25.4475,153.0533,90,Australia/New Zealand>Australia,Australia/New Zealand>Australia,"Woltering, Martijn; Atahan, Pia; Grice, Kliti; Heijnis, Henk; Taffs, Kathryn; Dodson, John",2014,Glacial and Holocene terrestrial temperature variability in subtropical east Australia as inferred from branched GDGT distributions in a sediment core from Lake McKenzie,Quaternary Research
254,Lake Malawi,Malawi.Johnson.2016.lpd,-11.2939,34.4372,500,Africa>Eastern Africa>Lake Malawi,Africa>Eastern Africa>Lake Malawi,"Johnson, T. C.; Werne, J. P.; Brown, E. T.; Abbott, A.; Berke, M.; Steinman, B. A.; Halbur, J.; Contreras, S.; Grosshuesch, S.; Deino, A.; Scholz, C. A.; Lyons, R. P.; Schouten, S.; Damst̩, J. S. Sinninghe",2016,A progressively wetter climate in southern East Africa over the past 1.3 million years,Nature
255,Maleshevska Mountains Peat Bog,MaleshevskaBog.Tonkov.1992.lpd,41.7,23.03,1720,Europe>Eastern Europe>Bulgaria,Europe>Eastern Europe>Bulgaria,"Tonkov, S.; Bozilova, E.D.B.",1992,Pollen analysis of peat bog in Maleshevska mountain (SW Bulgaria),"Annual of Sofia University, Faculty of Biology"
256,Mansell,Mansell.Shuman.2016.lpd,45.04,-68.73,57,North America>United States Of America>Maine,North America>United States Of America>Maine,"Shuman, Bryan N.; Marsicek, Jeremiah",2016,The structure of Holocene climate change in mid-latitude North America,Quaternary Science Reviews
257,Marais de Keswick,MaraisdeKeswick.Larouche.1986.lpd,44.2,-79.51,221,North America>Canada>Ontario,North America>Canada>Ontario,"Dinel, H.; Richard, P. J. H.; Lev̩sque, P. E. M.; Larouche, A.",1986,"Origine et ̩volution du marais tourbeux de Keswick, Ontario, par l'analyse pollinique et macrofossile",Canadian Journal of Earth Sciences
258,MD01-2416,MD01-2416.Sarnthien.2004.lpd,51.268,167.725,-2317,Pacific Ocean>North Pacific Ocean,Pacific Ocean>North Pacific Ocean,"Sarnthein, M.; Gebhardt, H.; Kiefer, T.; Kucera, M.; Cook, M.; Erlenkeuser, H.",2004,Mid Holocene origin of the sea-surface salinity low in the subarctic North Pacific,Quaternary Science Reviews
