"","id","lat","lon","sitename","filename","elevation","country","gcmd_location","author","pub_year","title","journal","archive_type","min_age","max_age","proxy","num_record","num_control","url"
"201",201,46.72,-70.3,"Lac Colin","LacColin.Mott.1977.lpd",658,"North America>Canada>Quebec","North America>Canada>Quebec","Mott, R. J.",1977,"Late-Pleistocene and Holocene palynology in southeastern Qu̩bec","G̩ographie physique et Quaternaire","LakeSediment",56,10789,"pollen",44,7,"this compilation"
"202",202,47.7167,-70.6667,"Lac du Sommet","LacduSommet.Hausmann.2011.lpd",830,"North America > Canada > Quebec","North America > Canada > Quebec","Hausmann, Sonja; Larocque-Tobler, Isabelle; Richard, Pierre J.H.; Pienitz, Reinhard; St-Onge, Guillaume; Fye, Falko",2011,"Diatom-inferred wind activity at Lac du Sommet, southern Qu̩bec, Canada: A multiproxy paleoclimate reconstruction based on diatoms, chironomids and pollen for the past 9500 years","The Holocene","LakeSediment",-52,9483,"chironomid",107,8,"this compilation"
"203",203,58.87,-71.72,"Lac Faribault","LacFaribault.Larouche.1981.lpd",250,"North America>Canada>Quebec","North America>Canada>Quebec","Richard, P.J.H.",1981,"Paleophytogeographie postglaciaire en Ungava par l'analyse pollinique",NA,"LakeSediment",-1,4361,"pollen",24,7,"this compilation"
"204",204,52.25,-67.07,"Lac Gras","LacGras.King.1986.lpd",530,"North America>Canada>Quebec","North America>Canada>Quebec","King, G.A.",1986,"Deglaciation and vegetation history of western Labrador and adjacent Quebec",NA,"LakeSediment",-30,7300,"pollen",24,7,"this compilation"
"205",205,49.21,-65.81,"Lac Leonard","LacLeonard.Labelle.1984.lpd",17,"North America>Canada>Quebec","North America>Canada>Quebec","Labelle, Claude; Richard, Pierre J. H.",1984,"Histoire postglaciaire de la v̩g̩tation dans la r̩gion de Mont-Saint-Pierre, Gasp̩sie, Qu̩bec","G̩ographie physique et Quaternaire","LakeSediment",523,9791,"pollen",25,7,"this compilation"
"206",206,56.78,-64.83,"Lac Martyne","LacMartyne.McAndrews.NA.lpd",365,"North America>Canada>Quebec","North America>Canada>Quebec",NA,NA,NA,NA,"LakeSediment",46,6798,"pollen",27,7,"this compilation"
"207",207,65.22,-126.12,"Lac Meleze","LacMeleze.MacDonald.1987.lpd",650,"North America>Canada>Northwest Territories","North America>Canada>Northwest Territories","MacDonald, Glen M.",1987,"Postglacial vegetation history of the Mackenzie River Basin","Quaternary Research","LakeSediment",-32,10590,"pollen",47,7,"this compilation"
"208",208,56.67,-64.68,"Lac Patricia","LacPatricia.McAndrews.1983.lpd",538,"North America>Canada>Quebec","North America>Canada>Quebec","Samson, G.",1983,"Prehistorie du Mushuau Nipi, Nouveau-Quebec: Etude du mode d'adaptation a l'interier des terres hemi-arctiques",NA,"LakeSediment",-2,5581,"pollen",36,7,"this compilation"
"209",209,50.55,-66.27,"Lac Petel","LacPetel.King.1986.lpd",270,"North America>Canada>Quebec","North America>Canada>Quebec","King, G.A.",1986,"Deglaciation and vegetation history of western Labrador and adjacent Quebec",NA,"LakeSediment",19,8374,"pollen",26,7,"this compilation"
"210",210,41.42,-84.75,"Ladd","Ladd.Shane.1993.lpd",249,"North America>United States Of America>Ohio","North America>United States Of America>Ohio","Shane, Linda C.K.; Anderson, Katherine H.",1993,"Intensity, gradients and reversals in late glacial environmental change in east-central North America","Quaternary Science Reviews","LakeSediment",-32.9,10883.8,"pollen",59,7,"this compilation"
"211",211,43.05,-6.15,"Lago de Ajo","LagodeAjo.Allen.1996.lpd",1570,"Europe>Southern Europe>Spain","Europe>Southern Europe>Spain","Allen, Judy R. M.; Huntley, B; Watts, W. A.",1996,"The vegetation and climate of northwest Iberia over the last 14,000 years","Journal of Quaternary Science","LakeSediment",0.07,10922.51,"pollen",78,6,"this compilation"
"212",212,42.9888,10.8972,"Lago Dell Accesa","LagoDellAccesa.Finsinger.2010.lpd",157,"Europe>Southern Europe>Italy","Europe>Southern Europe>Italy","Finsinger, Walter; Colombaroli, Daniele; De Beaulieu, Jacques-Louis; Valsecchi, Verushka; Vanni̬re, Boris; Vescovi, Elisa; Chapron, Emmanuel; Lotter, Andr̩ F.; Magny, Michel; Tinner, Willy",2010,"Early to mid-Holocene climate change at Lago dell'Accesa (central Italy): Climate signal or anthropogenic bias?","Journal of Quaternary Science","LakeSediment",4479,11552,"pollen",86,6,"www.ncdc.noaa.gov/paleo/study/9901"
"213",213,-41.0583,-71.5167,"Lago Moreno","LagoMoreno.Markgraf.2002.lpd",800,"South America>Argentina","South America>Argentina","Markgraf, Vera; Webb, Robert S; Anderson, Katherine H; Anderson, Lysanna",2002,"Modern pollen/climate calibration for southern South America","Palaeogeography, Palaeoclimatology, Palaeoecology","LakeSediment",2135,14450,"pollen",30,9,"this compilation"
