,time,new_zealand,greenland,n_atlantic,s_atlantic,indonesia,japan,oregon,alaska,china,congo,mediterranean,antarctica,arabean_sea,gulf_of_mexico,e_pacific,s_australia,philippines,s_america,iceland,scandinavia,w_africa
84,8400,0.05503068,-3.987399405,-0.095667947,-0.299627871,-0.110066598,-0.68827152,-0.168540504,-0.222465796,-0.121543152,0.361474858,-1.032373166,0.973839581,0.622754726,-0.262753698,0.078011929,-0.273431639,-0.214586484,-0.013687889,-0.530431619,-1.025623745,-0.068618894
85,8500,-0.054193114,-3.348733929,-0.413413069,0.020188056,-0.007708572,-0.675804321,-0.223807777,-0.082188275,-0.117696842,0.589352369,-1.16142895,1.07166374,0.302050474,-0.203932505,0.177263977,-0.210741639,-0.208834689,0.018982042,-0.245845097,-0.717865189,0.166841698
86,8600,-0.145103349,-3.760155905,-0.258917206,0.071671515,-0.111324886,-0.620528288,-0.440659011,0.128740333,-0.106970502,0.75197788,-1.334009848,1.065452274,0.828290612,-0.243075371,0.477573428,-0.207348639,0.007424095,-0.028206779,-0.588128158,-0.805782954,-0.004001756
87,8700,-0.043305303,-3.355253882,-0.10466481,-0.10321116,-0.037190809,-0.578205506,-0.249764777,-0.477901882,-0.082974163,0.45289757,-1.248487953,0.941191358,0.866674343,-0.226368154,0.593577684,-0.163078876,0.131115422,0.053114902,-0.284092214,-0.69139485,-0.024941461
88,8800,0.039427853,-3.748745548,-0.534138412,-0.238476023,-0.08890695,-0.478639351,-0.089466792,0.545013595,-0.11594217,0.124332905,-1.509741541,0.994424783,1.018068908,-0.162334891,0.363773926,-0.057887061,0.138843849,-0.013458628,0.723661131,-0.440261437,0.273100392
89,8900,0.090147015,-4.947791905,-0.298601505,0.026715888,0.037254846,-0.583149967,-0.079757381,0.138610979,-0.036705162,-0.017364263,-1.38769302,0.706237829,1.025596787,-0.057792624,0.028184357,0.043708759,0.003188186,0.000176498,1.466118652,-0.728430511,-0.023163358
90,9000,0.010411566,-1.852783,-0.060194579,0.448657294,0.157561277,-0.452675466,-0.704111741,0.547625572,0.084005831,-0.011018965,-1.210181166,0.74104334,1.379006727,0.049552508,-0.125996331,0.273425584,0.071739053,-0.00307387,0.381383199,-0.284713692,-0.160340199
91,9100,-0.004902727,-4.067007953,0.495782995,0.113238845,0.179788992,-0.682808132,-0.703377979,0.266200218,0.213118839,-0.022621676,-0.975062167,0.630896365,1.525909266,0.059980801,-0.049599463,0.188261347,-0.053742264,-0.044442241,-0.307141103,-0.745626671,-0.047188083
92,9200,0.230257406,-2.290439048,0.280776885,0.180274809,0.387336711,-0.470729317,-0.440024126,1.060794947,0.231748837,0.006866618,-0.997758934,0.334374021,1.114516091,0.126034759,-0.078766946,0.250183347,0.178849663,0.062283889,0.391299095,-0.172811828,-0.190636946
93,9300,0.217589759,-3.376206405,0.010542713,0.5891788,0.356121514,-0.209856144,-0.353532799,0.318773476,0.201731835,-0.044873238,-0.835907682,0.334513131,0.704273646,0.054316037,-0.176451004,0.279563347,-0.063694473,0.00569402,0.071536757,-0.029795357,-0.171892882
94,9400,0.171948691,-3.453383929,-0.342567983,-0.017284935,0.259470032,-0.306244383,-0.563241772,0.304420297,0.19042884,-0.20099646,-0.638094105,0.299426043,0.245207973,0.020965521,-0.302621657,0.251817847,0.080588466,0.079861309,-0.207718844,-0.266178653,-0.291506183
95,9500,0.038573027,-3.738023358,-0.014876644,-0.883008058,0.417027949,-0.353702467,-0.390463482,0.301171777,0.27293784,-0.270586104,-0.305357341,0.051456781,0.352531699,0.025962206,-0.218111625,0.216050347,0.080270993,-0.005371237,0.232839028,0.437005661,-0.094666865
96,9600,0.116674498,-3.035025524,-0.117180912,-0.506092992,0.459929149,-0.163318176,-0.39155702,0.422387848,0.336682833,-0.184221382,-0.446442357,-0.152440453,0.4275199,-0.055491644,0.034308364,0.180031347,0.144283105,0.043463719,0.123032555,-0.154129234,0.188902663
97,9700,-0.002502899,-3.377212953,-0.364155738,-0.152056587,0.341113201,0.05382121,-0.441313096,-0.040731868,0.489402826,-0.172536697,-0.368006539,0.117817239,0.604617999,-0.081421421,0.065948723,0.18728274,-0.084768715,-0.094817328,0.063582142,-0.379664721,0.001851416
98,9800,0.081470776,-2.668668977,-0.512623873,-0.033818248,0.174348284,-0.004583012,-0.897639478,0.686398368,0.384100399,-0.296752232,-0.036563462,0.152019405,0.504565591,-0.109542552,0.065897114,0.105903676,0.113952217,0.016172629,0.093399177,0.488279968,-0.200296116
